epoch,ACC,AUROC,BACC,F1_macro,F1_weighted,KAPPA,loss,test_ACC,test_AUROC,test_BACC,test_F1_macro,test_F1_weighted,test_KAPPA,test_confusion_matrix,test_loss,val_ACC,val_AUROC,val_BACC,val_F1_macro,val_F1_weighted,val_KAPPA,val_confusion_matrix,val_loss
1,0.35650869745704833,0.6682690846106667,0.20644159945392962,0.12516218932845571,0.20371955176372628,0.010423130083595966,1.5219494215761464,,,,,,,,,0.4365985576923077,0.8152616325874344,0.20929872142580397,0.1382763458797795,0.2787959195775805,0.026446436923974526,"[[ 120    0 2429   32    0]
 [   1    0 1531    0    0]
 [   0    0 4239    0    0]
 [   0    0  274    0    0]
 [   0    0 1358    0    0]]",1.4222320115719087
2,0.5399520602059537,0.8294450674950259,0.3874993964510883,0.3852604827144116,0.49217611768122715,0.3222169046154454,1.2971929044606147,,,,,,,,,0.5353565705128205,0.8325719533008069,0.3981062098037041,0.3593554785264349,0.45397122891109204,0.25680115438677975,"[[ 803  289 1182  232   75]
 [  69  174 1231    2   56]
 [   3    8 4183   39    6]
 [   0    0  122  152    0]
 [   4   20 1301    0   33]]",1.23899656190322
3,0.6166289486722819,0.854710758611604,0.5091019228187389,0.5129960140207082,0.6084311003057106,0.46413935845891285,1.1200024947143545,,,,,,,,,0.5736177884615384,0.8465017872225659,0.4674674057316325,0.42540837463087416,0.524642770602155,0.3472741397785505,"[[1124  430  689  246   92]
 [ 108  258 1015   14  137]
 [   5   38 4018  123   55]
 [   0    0   87  187    0]
 [   9   90 1119    0  140]]",1.1333358551447208
4,0.6327383263923296,0.8660405170687314,0.5464582425736242,0.5446059969766571,0.6338093722068467,0.4945359613977678,1.0374886697129508,,,,,,,,,0.5788261217948718,0.8539152597475306,0.4632637380729198,0.4263680562620432,0.5221490890925914,0.3454954475672225,"[[1192  321  805  202   61]
 [ 124  215 1073   13  107]
 [   3   21 4073  103   39]
 [   0    0   91  183    0]
 [   4   62 1176    0  116]]",1.1201029414167771
5,0.63875088715401,0.8703802113710335,0.5558937865671244,0.5522412810124603,0.6411491380244674,0.5042600013789986,1.0150007093553108,,,,,,,,,0.5953525641025641,0.8569933487247141,0.48625800108036443,0.464083743827376,0.5561636906912282,0.3859043257983926,"[[1260  413  585  179  144]
 [ 126  265  906   11  224]
 [   3   36 4007   77  116]
 [   0    0   95  179    0]
 [   5   91 1029    0  233]]",1.0780507759788098
6,0.6420718561270539,0.8727068838415436,0.563396947587066,0.5588601205399122,0.6457816983889121,0.5099824815827575,1.0052457893230133,,,,,,,,,0.5955528846153846,0.856642278449276,0.4662554617690864,0.44335843951364673,0.5373800680250038,0.36942124272248955,"[[1349  319  703  139   71]
 [ 145  223 1061   10   93]
 [   3   28 4114   63   31]
 [   0    0  102  172    0]
 [   6   75 1189    0   88]]",1.0853252502588124
7,0.6410809218367101,0.8724807156085518,0.5616296705016576,0.5561799122884459,0.6445645134798942,0.5086507951867134,1.0052825556967098,,,,,,,,,0.58984375,0.8583075480098026,0.4554167364155674,0.441569247707135,0.5339336623933879,0.3593070141424688,"[[1281  282  794  135   89]
 [ 127  194 1050    7  154]
 [   3   14 4115   53   54]
 [   0    0  115  159    0]
 [   6   43 1169    0  140]]",1.1104744607821488
8,0.640866665773933,0.8723045855780406,0.5609813439256872,0.5564074537753034,0.6443768246957639,0.50814455713299,1.00559457938334,,,,,,,,,0.5811298076923077,0.8552383705553085,0.464238293738173,0.42400063156569845,0.5217053469470451,0.3480078647390801,"[[1255  232  792  196  106]
 [ 139  165 1083   15  130]
 [   3   11 4079  106   40]
 [   0    0   88  186    0]
 [   4   47 1190    0  117]]",1.1142302583425472
9,0.6412550048877165,0.8716212404401205,0.5606700765468274,0.5563312924034834,0.6447628974692107,0.5086538978974648,1.0074972132270525,,,,,,,,,0.5707131410256411,0.8529682723553765,0.4566340702414916,0.4156817753415198,0.5095782339716795,0.32964485785238984,"[[1116  340  858  208   59]
 [ 107  224 1105   12   84]
 [   2   19 4089   99   30]
 [   0    0   88  186    0]
 [   3   45 1227    0   83]]",1.1390740271562185
10,0.6393267003227232,0.8714518189100972,0.5602619514410341,0.5551481788654711,0.6431037655154229,0.5063545553023073,1.0087497673830663,,,,,,,,,0.5972556089743589,0.8577521953704516,0.4713495624175416,0.43937879436279265,0.5358590885724482,0.3705607846115013,"[[1410  280  704  137   50]
 [ 153  206 1086   15   72]
 [   8   14 4095   94   28]
 [   0    0   94  180    0]
 [   8   45 1233    0   72]]",1.09085186284322
