epoch,ACC,AUROC,BACC,F1_macro,F1_weighted,KAPPA,loss,test_ACC,test_AUROC,test_BACC,test_F1_macro,test_F1_weighted,test_KAPPA,test_confusion_matrix,test_loss,val_ACC,val_AUROC,val_BACC,val_F1_macro,val_F1_weighted,val_KAPPA,val_confusion_matrix,val_loss
1,0.24664290305615613,0.5034099668965555,0.20039545597530176,0.14321181656193985,0.16574682616543068,0.00027311534104068613,1.60539244535072,,,,,,,,,0.26212800652262536,0.5169635559367718,0.20214531432841293,0.09008686522994272,0.11513123724131594,0.003091649642013694,"[[   0    0 2464   12    0]
 [   0    0 2966   44    0]
 [   0    0 3800   34    0]
 [   0    0 2902   58    0]
 [   0    0 2423   15    0]]",1.5958356328884664
2,0.26008297785309414,0.5294497543947168,0.20630606533836962,0.1265603403564289,0.14983704992754213,0.008663618628682035,1.5909555243169629,,,,,,,,,0.26810707976627257,0.5354989701002304,0.21649743858251772,0.12284072842810723,0.14184016161407656,0.022084906251473746,"[[   0    1 2251    1  223]
 [   0    3 2632   17  358]
 [   0    1 3579    9  245]
 [   0    3 2763   18  176]
 [   0    1 2087    4  346]]",1.5921481887774875
3,0.29232747034418277,0.5846569862798003,0.2568322563208272,0.20736436990650536,0.22189998595091295,0.07442151224377092,1.5559278254463553,,,,,,,,,0.28366625900258186,0.5576852909863886,0.2404608759354323,0.17707537199380285,0.19197883041147246,0.054338375838188124,"[[ 115   61 2013    7  280]
 [ 221  170 2166   43  410]
 [ 158  101 3303   19  253]
 [ 119  107 2492   40  202]
 [ 125   84 1674    8  547]]",1.5894768223488422
4,0.31304855957459243,0.6156624153074635,0.27980663675928874,0.24416202828851988,0.2572561921020971,0.10371221084767501,1.5200228224364627,,,,,,,,,0.2818317706210083,0.5587743363577253,0.24021436526962545,0.18953929263648306,0.20440464676338196,0.05624801907901056,"[[ 257   23 1887   79  230]
 [ 472   80 2005  146  307]
 [ 328   37 3188  146  135]
 [ 308   38 2275  226  113]
 [ 306   20 1662   53  397]]",1.6061296624355883
5,0.3269210541693449,0.63772348161397,0.2973800564699456,0.27324829790056315,0.2854420120055368,0.12532369060402115,1.4928112827191353,,,,,,,,,0.2911401005571409,0.5610001362489397,0.25207775443475516,0.21330346001274675,0.23176864187982876,0.07135022539728642,"[[   6  218 1729  166  357]
 [   9  466 1756  272  507]
 [   9  406 2859  326  234]
 [   4  300 1967  468  221]
 [   1  257 1503  191  486]]",1.6047404124403408
6,0.3414947700578508,0.6534194490420268,0.3142686670657332,0.29657675013541424,0.30796059595621356,0.14689317148895453,1.472882654875463,,,,,,,,,0.29487702133442045,0.5640952781440253,0.25749782457578685,0.22545635787968696,0.24469113708919452,0.07903679163007926,"[[  23  503 1513  217  220]
 [  36  872 1566  229  307]
 [   9  707 2600  391  127]
 [   9  569 1782  501   99]
 [  10  533 1301  250  344]]",1.5878799013314582
7,0.3542803716472857,0.6681938477521021,0.32828395631290413,0.3143081917273034,0.3248550808444389,0.16499505070834708,1.4534668392798753,,,,,,,,,0.29596412556053814,0.5612313145479887,0.26332273389647687,0.23899819425321303,0.25528793676962175,0.08463354638997256,"[[  53  348 1495  242  338]
 [  99  720 1504  236  451]
 [  53  590 2496  450  245]
 [  40  479 1682  565  194]
 [  19  385 1245  267  522]]",1.6037862125922357
8,0.3643545842342079,0.6811827129667277,0.3395035014683723,0.3288347902720546,0.3382324523146462,0.17877303296424374,1.434301726898751,,,,,,,,,0.27191194455768447,0.5684247756668006,0.24515769541728907,0.2139922647566231,0.22457284181306536,0.059560824368493526,"[[ 433   37 1542   86  378]
 [ 749  120 1569  109  463]
 [ 722  104 2554  144  310]
 [ 478   90 1812  307  273]
 [ 349   57 1332  112  588]]",1.6229343450106686
9,0.3745339800151931,0.6906640835850283,0.35160973986488825,0.3445337710972593,0.3527433880286338,0.19359354384922223,1.4182487401916026,,,,,,,,,0.30330207908683243,0.5790068889587494,0.266578612240796,0.2431680109112328,0.25918009445307755,0.09013072259206856,"[[ 158  378 1594  159  187]
 [ 265  788 1583  123  251]
 [ 108  644 2727  223  132]
 [ 105  498 1869  393   95]
 [  85  457 1325  173  398]]",1.5961174553771238
10,0.38243440659148015,0.7003644199763986,0.3609095162098073,0.35685606501535383,0.36417445386913755,0.20493323805734953,1.4028593599277328,,,,,,,,,0.2717081125152874,0.5804863371578588,0.26177398568929866,0.23367119316637447,0.2456218060931793,0.07975068457736334,"[[  57  269  995  282  873]
 [ 147  530  829  170 1334]
 [  72  509 1647  416 1190]
 [  55  387 1050  605  863]
 [  15  320  646  297 1160]]",1.6093894767929702
