epoch,ACC,AUROC,BACC,F1_macro,F1_weighted,KAPPA,loss,test_ACC,test_AUROC,test_BACC,test_F1_macro,test_F1_weighted,test_KAPPA,test_confusion_matrix,test_loss,val_ACC,val_AUROC,val_BACC,val_F1_macro,val_F1_weighted,val_KAPPA,val_confusion_matrix,val_loss
1,0.24324324324324326,0.4986838557489365,0.24350716517519455,0.23779705203843013,0.23765925686594372,-0.008635209008522216,1.4209436506373399,,,,,,,,,0.2545126353790614,0.530523558015384,0.2569709703516146,0.13650054480768445,0.13555710741836385,0.009305004091777147,"[[  0   7 132   1]
 [  0  12 125   2]
 [  0   8 128   1]
 [  0   4 133   1]]",1.3889294462513837
2,0.25494566731680135,0.5043777741643706,0.25482957275227097,0.25225090917804077,0.2523150184570011,0.0064610665097486475,1.4026855249596226,,,,,,,,,0.26714801444043323,0.5846577969722714,0.26911301805905324,0.19935135786199615,0.19838079067666595,0.02536214614108001,"[[  0  33  94  13]
 [  0  28 107   4]
 [  0  19 103  15]
 [  0  16 105  17]]",1.3807168790149345
3,0.26079687935358037,0.5193297444732264,0.2606561447353425,0.2583944494014864,0.2584700211572623,0.014227805567507357,1.393077333314268,,,,,,,,,0.2563176895306859,0.6347547992982194,0.2585198106192925,0.1614655630368966,0.16059217741315712,0.011451241272976032,"[[  0  14 123   3]
 [  0  21 116   2]
 [  0  13 117   7]
 [  0   7 127   4]]",1.374369613960762
4,0.29367511841738647,0.5444903624010434,0.29348717106139843,0.2936067128804421,0.2937153820654599,0.05803938418213639,1.380235586899773,,,,,,,,,0.38267148014440433,0.6855681928389538,0.3834039360523188,0.3263273211587616,0.3253287170140347,0.1772848855386111,"[[  1 105  23  11]
 [  0 104  23  12]
 [  0  54  55  28]
 [  0  45  41  52]]",1.3551671642689067
5,0.3220952911674561,0.5861175284110249,0.32218301265930227,0.3221235219976312,0.32205913183080487,0.09615664288412162,1.3606870084062663,,,,,,,,,0.388086642599278,0.7164371259994693,0.38899518051605775,0.3365870219098278,0.33626521448505664,0.18511029730808615,"[[55  1 60 24]
 [45  1 61 32]
 [12  0 71 54]
 [ 4  0 46 88]]",1.3000142100916012
6,0.3836723321259404,0.645931487847369,0.38400281910448897,0.38061519546111905,0.3804171606598534,0.17841281287505129,1.3076467431664434,,,,,,,,,0.463898916967509,0.7371540727906807,0.4637386957641576,0.4461234499756399,0.446276089853122,0.2851519733069183,"[[ 76  24  20  20]
 [ 56  36  18  29]
 [ 16  12  45  64]
 [  7  12  19 100]]",1.2015570509734996
7,0.41850097520200613,0.6746047409657381,0.41896681558626203,0.4131485760861467,0.41284109423731463,0.22486135661833606,1.269823867220439,,,,,,,,,0.45126353790613716,0.7203635452658795,0.4515874393018568,0.4410661838315188,0.4409922634265103,0.26858651703935965,"[[48 40 26 26]
 [32 55 23 29]
 [ 9 24 49 55]
 [ 4 16 20 98]]",1.2187680587011125
8,0.46001671774867653,0.7168100195838856,0.46047267632198363,0.45561472145459386,0.4553243052567916,0.2801890606874996,1.2141405675164767,,,,,,,,,0.4675090252707581,0.7245953836960818,0.46729027169523385,0.44616705903921616,0.4460374572400696,0.2897435897435898,"[[94 16 17 13]
 [73 23 23 20]
 [28 15 62 32]
 [22  7 29 80]]",1.200556646185231
9,0.4786848704374478,0.7397930691157207,0.4790430019967028,0.4764174154726032,0.476174312193919,0.3050156922148316,1.1752889112165361,,,,,,,,,0.49097472924187724,0.724245774140241,0.4908275745998839,0.45112933686581813,0.45099938496101116,0.32113448427200153,"[[ 96   7  18  19]
 [ 72  16  22  29]
 [ 23   7  58  49]
 [ 17   2  17 102]]",1.2172048801979864
10,0.5154639175257731,0.7617283268262514,0.5158383024959946,0.5138334901370698,0.5135802140421813,0.3540415053522391,1.137350808016335,,,,,,,,,0.48194945848375453,0.7343474327745001,0.4821003645014351,0.43198352372265414,0.4317507125323795,0.30935895542485814,"[[99  0 28 13]
 [71  8 38 22]
 [20  2 81 34]
 [20  1 38 79]]",1.2685013884671759
