epoch,ACC,AUROC,BACC,F1_macro,F1_weighted,KAPPA,loss,test_ACC,test_AUROC,test_BACC,test_F1_macro,test_F1_weighted,test_KAPPA,test_confusion_matrix,test_loss,val_ACC,val_AUROC,val_BACC,val_F1_macro,val_F1_weighted,val_KAPPA,val_confusion_matrix,val_loss
1,0.24323029275989014,0.506705206011499,0.19967735997556774,0.1500472820015658,0.17124645719565765,-0.0002755181937830198,1.6065226425720822,,,,,,,,,0.26260361462155185,0.5350671503265345,0.20232189213558152,0.08853584633842533,0.11351933649707331,0.0034799434048786715,"[[   0    0 2470    5    1]
 [   1    0 2996    9    4]
 [   0    0 3823   11    0]
 [   2    0 2903   38   17]
 [   0    0 2427    7    4]]",1.5927136344160622
2,0.2693390989306375,0.5462369785697956,0.22615625474372533,0.1707005689818693,0.18873190655985989,0.0356586043638637,1.5836515557304114,,,,,,,,,0.27102867237396383,0.5429816033277046,0.222862081439886,0.1471425799674036,0.16547964302305476,0.030225067708237296,"[[   0    4 2227   95  150]
 [   1   19 2610  148  232]
 [   0   17 3388  184  245]
 [   0   37 2373  199  351]
 [   0   19 1907  129  383]]",1.598127324436326
3,0.2967101034301408,0.587389083451342,0.2645739324548587,0.2176785449798239,0.23131451502190994,0.08361335084038801,1.554021950589498,,,,,,,,,0.28176382660687593,0.560559267364448,0.2359498118954216,0.17491226853388905,0.19227537589751892,0.046693823494929565,"[[   5   24 2152  190  105]
 [  11   38 2536  321  104]
 [   0   32 3239  412  151]
 [   8   60 2198  477  217]
 [   4   46 1725  275  388]]",1.610395405713364
4,0.31896219248524516,0.6183085088789679,0.28909428187869995,0.26173106397398194,0.27305249899624096,0.11462733354364729,1.5185913227110612,,,,,,,,,0.27598858540562576,0.5769145130370472,0.22769150633938023,0.1605233215511368,0.18109209874718782,0.037228686165014624,"[[   7   20 2137  299   13]
 [   9   26 2536  423   16]
 [   0   13 3202  605   14]
 [  10   35 2234  655   26]
 [  26  105 1671  464  172]]",1.646993219844348
5,0.3345293052065681,0.6419542684954301,0.3070127885971352,0.29006769279514677,0.30018423836779756,0.136844803797051,1.4881171630864278,,,,,,,,,0.28522897132762604,0.5908987161545431,0.23944766569315284,0.17980688600020958,0.1976179762455578,0.051194853299389,"[[  17    6 2110  319   24]
 [  26   18 2504  427   35]
 [   4    3 3145  667   15]
 [  17   24 2160  739   20]
 [  59   33 1656  411  279]]",1.636944217143426
6,0.34995617366914045,0.6613089906630384,0.32588445182213244,0.3160393781712217,0.32483520901529966,0.16039728320698687,1.4634396420894384,,,,,,,,,0.2776192417448023,0.5921185478453476,0.23246518527526944,0.17693174543259613,0.19572720936054852,0.04218703238057864,"[[  22   47 2053  344   10]
 [  19   73 2453  448   17]
 [   6   26 3050  743    9]
 [  14   54 2158  723   11]
 [ 102  207 1587  324  218]]",1.641058770822011
7,0.36696079004265764,0.677751461397025,0.3449993041381999,0.33891267182255247,0.34672659522105376,0.18431371596990387,1.4410590808130903,,,,,,,,,0.27795896181546403,0.5962128661834865,0.23190418693447645,0.17256620416973673,0.19153679183101463,0.040966997550890505,"[[  11   33 2109  312   11]
 [  15   47 2485  448   15]
 [   3   12 3098  715    6]
 [   8   36 2189  720    7]
 [  55  169 1706  293  215]]",1.632762721544181
8,0.3771518728452054,0.6898107850680734,0.35592139572441683,0.35250026810521085,0.35960251650574293,0.19811100447501795,1.4222091899165863,,,,,,,,,0.28536485935589073,0.5850818257197284,0.24385230437676153,0.20014578105954853,0.21532827171578786,0.056259643068886755,"[[  53   42 1980  365   36]
 [  49   82 2330  517   32]
 [  11   33 2987  774   29]
 [  29   88 2109  700   34]
 [ 230  167 1403  260  378]]",1.6495420183884675
9,0.3869572839361889,0.7002267061130112,0.3662263030553996,0.3655849529594921,0.3719309362126635,0.21103975264784125,1.4047168608641893,,,,,,,,,0.27313493681206685,0.5848453233062516,0.24426351133033125,0.19881646618386023,0.2128908394358501,0.05407623073203427,"[[  25   58 1536  841   16]
 [  25   99 1787 1084   15]
 [   4   27 2075 1716   12]
 [  12   85 1339 1518    6]
 [ 148  239 1114  634  303]]",1.7231034691493494
10,0.3960264126687314,0.7103401483677994,0.375593429435062,0.37628463688371505,0.38236084094044526,0.22309712223537947,1.3874832533065256,,,,,,,,,0.28427775512977305,0.5948959284821029,0.2546955845577252,0.21532149996836938,0.2268723239361511,0.0657928824355295,"[[  27   39 1636  743   31]
 [  23   75 1928  950   34]
 [   5   25 2269 1522   13]
 [  10   83 1502 1352   13]
 [ 110  172 1188  507  461]]",1.7710367964894767
