epoch,ACC,AUROC,BACC,F1_macro,F1_weighted,KAPPA,loss,test_ACC,test_AUROC,test_BACC,test_F1_macro,test_F1_weighted,test_KAPPA,test_confusion_matrix,test_loss,val_ACC,val_AUROC,val_BACC,val_F1_macro,val_F1_weighted,val_KAPPA,val_confusion_matrix,val_loss
1,0.12229437229437229,0.5041114833856292,0.11382341937897494,0.10121605938288168,0.10484304652954389,0.0029418221734357486,2.223589639815073,,,,,,,,,0.13988095238095238,0.5178567243941472,0.11136831275720166,0.040245070303902564,0.047520169881370256,-0.00024721878862798974,"[[  0   0   0   0  99   0   9   0   0]
 [  0   0   0   1 101   0   6   0   0]
 [  0   0   0   0  99   0   9   0   0]
 [  0   0   0   1 101   0   6   0   0]
 [  0   0   0   1 131   0  12   0   0]
 [  0   0   0   1  98   0   8   1   0]
 [  0   0   0   0  98   0   9   1   0]
 [  0   0   0   1 101   0   6   0   0]
 [  0   0   0   0 102   0   6   0   0]]",2.193829305588253
2,0.12229437229437229,0.5066181450158567,0.11073699962588852,0.09791612911940986,0.1019440618001916,-0.0008913267055192797,2.2090811509246606,,,,,,,,,0.1378968253968254,0.5354708219021491,0.1147119341563786,0.04581296839361356,0.05262533165758972,0.003358728598345073,"[[  0  26   0   0  82   0   0   0   0]
 [  0  29   0   0  79   0   0   0   0]
 [  0  19   0   0  89   0   0   0   0]
 [  0  15   0   0  93   0   0   0   0]
 [  0  34   0   0 110   0   0   0   0]
 [  0  31   0   0  77   0   0   0   0]
 [  0  27   0   0  81   0   0   0   0]
 [  0  21   0   0  87   0   0   0   0]
 [  0  20   0   0  88   0   0   0   0]]",2.1930382857247004
3,0.1376863876863877,0.5194636659440562,0.12102506546950992,0.09761563867456041,0.10280017331817085,0.012540695787309764,2.1969868421210528,,,,,,,,,0.13293650793650794,0.5459726866140832,0.11059670781893004,0.05333846265511977,0.05997914800208703,-0.0005724098454493731,"[[  7   0   0   0  80   1  20   0   0]
 [  6   0   3   0  76   1  22   0   0]
 [  2   0   0   0  87   3  16   0   0]
 [  5   0   3   0  84   1  15   0   0]
 [  6   0   0   0 106   1  31   0   0]
 [  2   0   3   0  73   1  28   1   0]
 [  6   0   0   0  81   1  20   0   0]
 [  7   0   3   0  80   1  17   0   0]
 [  6   0   3   0  75   2  22   0   0]]",2.1875061761765253
4,0.14273689273689275,0.5384217176965649,0.1254832273350792,0.09946882950489953,0.10486815795119027,0.018232432778048202,2.185100080417635,,,,,,,,,0.15575396825396826,0.5634773662551441,0.14120370370370372,0.08017204117241504,0.08609825109494004,0.035381750465549255,"[[ 0  5  0  0 65  6  3  0 29]
 [ 0  9  1  0 48  5  6  0 39]
 [ 0  3  0  0 48  8  3  0 46]
 [ 0  5  1  0 66  5  1  0 30]
 [ 0 11  0  0 79 10  2  0 42]
 [ 0  2  1  0 46  5  6  0 48]
 [ 0  3  0  0 57  8  3  0 37]
 [ 0  6  1  0 51  5  6  0 39]
 [ 0  1  0  0 38  6  2  0 61]]",2.1804632648589117
5,0.164021164021164,0.571345780517903,0.14917695473251028,0.12611458909168358,0.13134021067783264,0.04656106425289719,2.1631934883618595,,,,,,,,,0.1636904761904762,0.5837858296181984,0.1643518518518519,0.12965979010648523,0.13056413866752145,0.05858892035257057,"[[ 0  5  0 15 17 24 22  1 24]
 [ 1  4  0  8 15 31 25  0 24]
 [ 1  3  0 10 12 24 17  1 40]
 [ 0  3  0 30 15 14 20  0 26]
 [ 0  3  0 22 21 25 31  3 39]
 [ 0  2  0 14 12 33 13  0 34]
 [ 0  0  0 12 16 30 25  1 24]
 [ 3  2  0  7 13 26 24  6 27]
 [ 0  7  0  4  6 27 18  0 46]]",2.1661215282621837
6,0.18458393458393457,0.5977783091861375,0.17601945379723158,0.1634779556492135,0.16738958552433184,0.07592872890801039,2.138892122620055,,,,,,,,,0.1765873015873016,0.6018361696959306,0.1697530864197531,0.12932078054013113,0.13360934122142312,0.06767761864644761,"[[ 0  0 18  6 34  5  0 43  2]
 [ 0  0 14  3 31  8  0 46  6]
 [ 0  0 38  5 22  7  0 36  0]
 [ 0  0 16 14 42  3  0 25  8]
 [ 0  0 24  8 52  8  0 41 11]
 [ 0  0 36  7 23 13  0 21  8]
 [ 0  0 15  5 26 11  0 48  3]
 [ 0  0 23  1 24  5  0 50  5]
 [ 0  0 29  1 19 12  0 36 11]]",2.149730020099216
7,0.20262145262145262,0.6186730796240243,0.19578501059982542,0.18484849432036166,0.1881733916423254,0.097726676321084,2.1155130203782853,,,,,,,,,0.18452380952380953,0.6134778663694559,0.18569958847736626,0.1557869106348383,0.15591667417841804,0.0818573480134035,"[[13 10  1 10 16 44  0 10  4]
 [ 5 15  4  7 15 43  0 14  5]
 [ 3  6  6  7 14 62  0  7  3]
 [ 6  4  5 28 15 38  0  7  5]
 [ 9 15  4 20 22 57  0 13  4]
 [ 2  4  4 10 11 73  0  2  2]
 [ 7  8  1  6 15 56  0 14  1]
 [ 8  4  1  4 18 48  0 22  3]
 [12  6  0  4  6 69  0  4  7]]",2.149658691315424
8,0.21945646945646946,0.6389409446021086,0.21305649083426859,0.20239391656172773,0.20584090373483013,0.11759965043452925,2.0870664287152456,,,,,,,,,0.19345238095238096,0.6238210876771835,0.19444444444444445,0.17301729805532132,0.17340625333823884,0.09245305585456298,"[[17 13  0 15 12 22  0 13 16]
 [ 4 22  3 12 11 31  0 18  7]
 [ 3  7  7 10 11 39  0 18 13]
 [ 6  7  2 32 11 25  0 14 11]
 [12 17  3 22 24 36  0 22  8]
 [ 1  3  3 13 12 53  0 16  7]
 [ 7  8  1 11 15 40  0 20  6]
 [ 8  8  1  5 17 36  0 25  8]
 [ 9 11  1  4  4 54  0 10 15]]",2.124200669545976
9,0.23412698412698413,0.6575928424201276,0.22692979174460653,0.21603334892173198,0.21977254856304104,0.13394912439173634,2.055804504345907,,,,,,,,,0.2152777777777778,0.6274593835733882,0.21270576131687244,0.20295299623260607,0.20431812031673569,0.1142217245240762,"[[20  6  3 22 27 11  3  5 11]
 [13 24  4 16 22 18  5  2  4]
 [ 9  7 11 17 15 19  8  6 16]
 [11  7  4 41 21  9  2  4  9]
 [13 12  4 25 41 21  7 10 11]
 [ 3  7  4 17 15 37 10  6  9]
 [15 12  1 14 24 20  9  5  8]
 [12  9  6 14 17 21  8 13  8]
 [ 8 14  3  9 14 31  5  3 21]]",2.125443591011895
10,0.24242424242424243,0.6691572487984135,0.23575258760443946,0.2253062560473483,0.2286572972615323,0.14344815530586275,2.0358504896957523,,,,,,,,,0.21825396825396826,0.6331113897462276,0.21913580246913578,0.2106171829807105,0.21067089830715702,0.12025518341307817,"[[17  6 13 15 12 18  6  9 12]
 [15 20 10 10 15 24  4  8  2]
 [ 7  4 22  7 10 32  6 12  8]
 [ 5  4  9 30 15 21  6 12  6]
 [16 10  9 21 28 30  7 16  7]
 [ 5  3 11 11  7 52  2 14  3]
 [ 6  6 10  6 15 28 11 17  9]
 [ 7  6 11  7 13 31  5 24  4]
 [ 5  9 17  2  5 44  4  6 16]]",2.1120261067435857
