epoch,ACC,AUROC,BACC,F1_macro,F1_weighted,KAPPA,loss,test_ACC,test_AUROC,test_BACC,test_F1_macro,test_F1_weighted,test_KAPPA,test_confusion_matrix,test_loss,val_ACC,val_AUROC,val_BACC,val_F1_macro,val_F1_weighted,val_KAPPA,val_confusion_matrix,val_loss
1,0.6319861494346156,0.6887169242876616,0.6318951846669211,0.6318399405409028,0.6318805614733641,0.2638324153925746,0.6344419354317424,,,,,,,,,0.7442037827943868,0.8141672812739552,0.745236778000869,0.74230337135142,0.7420603347192821,0.4894321903680632,"[[2721  521]
 [1156 2158]]",0.5365934445135764
2,0.7307796353405832,0.8072887610019968,0.7305513047649552,0.7302264057168482,0.7302940447031033,0.461305655613488,0.5292028194821884,,,,,,,,,0.7718120805369127,0.838447860328958,0.7726892472329641,0.7706433208911665,0.7704635117148978,0.5443934776169823,"[[2764  478]
 [1018 2296]]",0.5288335783605971
3,0.7823765983155693,0.8564373048775357,0.7821231885061646,0.781828984875222,0.7818895022712576,0.5645249571442237,0.46318564776546645,,,,,,,,,0.7663209273947529,0.8489283262416153,0.7674286307840255,0.764307139219832,0.7640678772584553,0.5336449365346521,"[[2815  427]
 [1105 2209]]",0.5242317966603156
4,0.8039640029576728,0.8775138798688418,0.8037087585691308,0.8034617693149386,0.8035167767099864,0.6077204474122959,0.42893324690130924,,,,,,,,,0.7777608297742525,0.8652097107703397,0.7775748632630639,0.777616532691929,0.7776787446076614,0.5553264966992435,"[[2466  776]
 [ 681 2633]]",0.5055227140561337
5,0.8162816281628162,0.8910284756686953,0.8160326527417351,0.8158306056320384,0.8158810662431712,0.6323730732594346,0.4066875497668868,,,,,,,,,0.7606772422208664,0.8542454626717753,0.7622650918820832,0.7561530361250783,0.7557882625092925,0.5228396152124815,"[[2940  302]
 [1267 2047]]",0.5339300372865667
6,0.8249382315280709,0.900761979904935,0.8247182793475374,0.8245941087151714,0.8246371240667838,0.6497153978916494,0.38886851300791037,,,,,,,,,0.7911836485661989,0.8634648977642194,0.7920715287470537,0.790091012768852,0.7899246918863805,0.5830782763549174,"[[2830  412]
 [ 957 2357]]",0.46131835355581924
7,0.8324947248823243,0.9095255968202245,0.8322735065409808,0.8321614137130622,0.8322028246920032,0.6648343324766749,0.37292035595951767,,,,,,,,,0.7763880414887127,0.8620787271914301,0.7781637507413448,0.7710178323650946,0.7706327177665881,0.5543289432243652,"[[3047  195]
 [1271 2043]]",0.5001906377193476
8,0.8428826489206298,0.9191577989688899,0.8426913057233949,0.8426405326571376,0.8426747072285822,0.6856383912488468,0.35453614126187144,,,,,,,,,0.7907260524710189,0.8672722828804351,0.7915485385873476,0.7898049156890485,0.7896521003703805,0.5821101328315279,"[[2809  433]
 [ 939 2375]]",0.45062464942486274
9,0.8495193781673249,0.9249549674030749,0.8493520036051734,0.8493355201037733,0.849364660230521,0.6989315255879391,0.34226121478066646,,,,,,,,,0.7876754118364857,0.8785903334962772,0.787120387699614,0.7869291183273862,0.7870676057826829,0.5748494401921918,"[[2388  854]
 [ 538 2776]]",0.5075518236909792
10,0.859564644989089,0.9342470137863369,0.8594100600806112,0.8594145143145754,0.8594399503615267,0.7190362334754314,0.321519574746937,,,,,,,,,0.7821842586943258,0.8814744813564572,0.7811862783167665,0.7800084368768216,0.7802487116787546,0.5634676065931632,"[[2238 1004]
 [ 424 2890]]",0.5850163916241812
11,0.8652275063571931,0.9385605032714954,0.8650786868526144,0.8650922060984398,0.8651158605286432,0.7303687249457818,0.31081939049574503,,,,,,,,,0.7914887126296523,0.878388429882833,0.7925240608980576,0.789950667287139,0.7897532710934475,0.5838098610020307,"[[2875  367]
 [1000 2314]]",0.5464201147245872
12,0.8676080722826381,0.9407762176534149,0.8674707090786917,0.8674918735523354,0.8675135988935065,0.7351374127271775,0.3050857547649574,,,,,,,,,0.7792861500915192,0.8735923755685505,0.7791070689952371,0.7791496303524605,0.7792099335500815,0.5583843976079054,"[[2473  769]
 [ 678 2636]]",0.5677280315863397
13,0.8752727731789572,0.9465747625727667,0.8751205670252924,0.8751422196087522,0.8751645731759875,0.7504638456473857,0.29099774482609286,,,,,,,,,0.7776082977425259,0.8718973811214235,0.7774775995654499,0.7775153515172759,0.7775652927726342,0.5550705117487309,"[[2482  760]
 [ 698 2616]]",0.5800682018608164
14,0.8766434020451226,0.9485567258995642,0.8765078136258548,0.8765371042813563,0.8765571616959084,0.7532141849223476,0.28531965721262814,,,,,,,,,0.7773032336790726,0.8758282306346581,0.7772361622146264,0.7772554728762411,0.7772912934783648,0.5545169170531774,"[[2500  742]
 [ 718 2596]]",0.578596294145006
15,0.8835326155566376,0.9530812459779279,0.8834024307203241,0.8834385721097076,0.8834569031180933,0.7669990878801275,0.2729960468826858,,,,,,,,,0.7892007321537523,0.8722197707220076,0.7898957072550714,0.7885702769926903,0.7884434815413034,0.578957249559179,"[[2766  476]
 [ 906 2408]]",0.5523726175322702
16,0.8862919078793126,0.9550375111202893,0.8861649030947027,0.8862036739954556,0.8862212179088909,0.7725206482265006,0.2661992866130651,,,,,,,,,0.7943868212324589,0.8782459083163533,0.7950187583977197,0.7938957902117264,0.7937853082320615,0.5892635316645133,"[[2764  478]
 [ 870 2444]]",0.5787034845479683
